         8593232 function calls (8583232 primitive calls) in 5.240 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\threading.py:1047(ident)
        1    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\OneDrive - McKinsey & Company\Documents\04_phd\02_workspace\upc_csn_08_final_project\process_simulation.py:136(<listcomp>)
        1    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\OneDrive - McKinsey & Company\Documents\04_phd\02_workspace\upc_csn_08_final_project\process_simulation.py:144(<dictcomp>)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\contextlib.py:238(helper)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\site-packages\traitlets\traitlets.py:676(__get__)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\contextlib.py:82(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Lennart Ebert\AppData\Local\Temp\ipykernel_39584\2671428621.py:16(<module>)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\contextlib.py:108(__enter__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\site-packages\traitlets\traitlets.py:629(get)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\contextlib.py:117(__exit__)
        4    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\site-packages\IPython\core\compilerop.py:180(extra_flags)
        1    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\OneDrive - McKinsey & Company\Documents\04_phd\02_workspace\upc_csn_08_final_project\process_simulation.py:146(<dictcomp>)
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\site-packages\IPython\core\interactiveshell.py:3424(compare)
       28    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\OneDrive - McKinsey & Company\Documents\04_phd\02_workspace\upc_csn_08_final_project\process_simulation.py:142(<listcomp>)
       14    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\site-packages\IPython\core\interactiveshell.py:1229(user_global_ns)
        4    0.000    0.000    0.000    0.000 c:\Users\Lennart Ebert\.conda\envs\process_simulation\lib\typing.py:1149(cast)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


