t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,a,e,seed,computation_time,version,max_complexity,mean_complexity,has_phase_change,time_to_chaos
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.6,1077694160,7.233313083648682,0.03,75857757502.9182,148171862.42747456,True,455
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.6,1008333669,11.62868881225586,0.03,190546071796.32367,1594558515.35159,True,296
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.8,346388253,9.199733972549438,0.03,1584893192.4611108,28075346.038014952,True,297
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.4,1951203506,13.91361665725708,0.03,251188643.1509572,6257549.922467514,True,222
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.4,525513705,4.399665117263794,0.03,4365158.322401665,52148.00833489578,True,48
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,494394008,5.619967222213745,0.03,3019951720402.019,66366518737.46375,False,51
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.8,189483378,13.798272609710692,0.03,30199517204.02019,140699435.062614,True,2873
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1086563997,16.115914344787598,0.03,14454397707.45928,123299788.55180898,True,415
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.6,1908296830,8.494947671890259,0.03,131825673855.63994,491726914.8073405,True,352
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1.0,1487445325,13.415979146957396,0.03,3630780547701.003,41645076077.97836,True,407
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.8,311523436,10.358982801437378,0.03,2089296130854.0408,16123856688.00685,True,563
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,1.0,1359624215,11.616841554641724,0.03,2.511886431509572e+20,4.538586031126758e+17,False,2801
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.4,788779691,6.249586820602417,0.03,1000000.0,15835.24351417292,False,167
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,432618526,12.135509490966797,0.03,758577575029182.0,4189927182200.862,True,578
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.6,1800135571,8.926990747451782,0.03,363078054.7701003,2746851.4981123675,True,226
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.4,589902714,12.334243535995483,0.03,12022644346.174082,190437299.1980641,True,798
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.4,512451960,8.04794692993164,0.03,251188643.1509572,727194.9912265886,True,403
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,1236281998,14.4265296459198,0.03,13182567385563.994,177354253041.34445,True,1566
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.4,1805349599,21.284443378448486,0.03,100000000000000.0,516814675958.4218,False,1647
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.6,18470853,11.946806907653809,0.03,5.248074602497712e+16,103945538051910.77,True,1167
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.8,1718509403,8.465828895568848,0.03,5.754399373371543e+21,7.982028724351649e+18,False,1826
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,1.0,837290195,12.483521938323976,0.03,8317637711026675.0,111216282157248.31,False,708
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,1480431726,7.865946292877197,0.03,208929613.0854041,3664742.5828550714,True,302
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,1573406294,19.02991843223572,0.03,1e+18,4289372689013281.5,False,1864
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,2912578,16.897679805755615,0.03,2.089296130854041e+16,190164867287236.88,False,3168
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.6,582733810,13.62124490737915,0.03,3.630780547701003e+20,4.344862240698632e+17,False,3605
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.4,1881714246,4.4660584926605225,0.03,15848931.924611174,224171.93795096892,False,146
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.8,2124214064,4.204785108566284,0.03,331131121482.5908,3626265180.745922,False,104
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.4,264881586,14.409886360168455,0.03,331131121482.5908,4592686303.561366,True,466
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.6,1258040404,13.8281569480896,0.03,3.981071705534953e+17,745883413177945.8,False,3873
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.4,1666690604,4.468124866485596,0.03,9120108.393559117,99642.50432265902,True,274
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.6,218712793,9.566190004348757,0.03,6309573444801.892,33102955306.43805,True,901
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,1232390439,11.510548830032349,0.03,1.445439770745928e+16,87340206040028.73,True,2296
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.6,722321162,4.566392421722412,0.03,363078054.7701003,7003381.509933739,True,140
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.4,369866674,4.149743556976318,0.03,10964781.961431874,108499.85510461307,False,49
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.8,1151337901,13.849730968475342,0.03,8317637711.026674,80896969.50285093,True,554
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.6,1489897820,8.09639024734497,0.03,6309573444801.892,14916054137.600777,True,1110
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,355919965,15.504135847091677,0.03,39810717055349.53,265726238635.3211,False,293
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.4,336772352,8.599620342254639,0.03,2754228703.338152,12973741.17354634,True,444
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.6,210803577,10.271540403366089,0.03,69183097.09189363,941743.2139229702,True,370
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,1153345213,5.066428899765015,0.03,1584893192461111.0,3773044576680.4497,True,561
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1464886884,6.230690956115723,0.03,3019951720402.019,24401512065.45398,True,284
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.8,844167369,14.415947914123535,0.03,3.630780547701003e+18,1.273218975209557e+16,False,3944
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,1.0,1301285023,9.839142560958862,0.03,1202264434617.4082,7244677060.587883,False,214
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,1.0,1003069755,8.316431522369385,0.03,3311311214825907.5,12058443994796.416,True,375
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.6,1990734930,16.55406618118286,0.03,4.3651583224016655e+18,3.177281514428181e+16,True,781
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,1868003558,12.540389776229858,0.03,2290867652767770.0,16096734373672.05,True,615
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1628567329,9.282816648483276,0.03,4365158322401.63,31799556347.544487,True,259
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.8,897389076,9.717556238174438,0.03,8.317637711026674e+19,9.781156853713715e+16,False,4047
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,1.0,562606187,6.677274465560913,0.03,13182567385563.994,71306736601.43753,False,257
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,1.0,1878045259,3.42148756980896,0.03,363078054770100.25,660239207567.6384,False,53
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.8,526822187,6.773210525512695,0.03,575439937337.1543,2448091822.883188,True,355
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.6,124017275,9.76114273071289,0.03,3981071705.534953,53493953.75357797,True,334
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.8,950625190,14.70099711418152,0.03,2.29086765276777e+17,813831224046955.1,False,1032
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,1712866497,9.88673496246338,0.03,30199517204.02019,397930153.09227294,True,566
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.8,2146275039,13.082803964614868,0.03,1.584893192461111e+21,4.039018118533514e+18,True,913
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,1.0,1021559679,6.378518104553223,0.03,2.089296130854041e+16,61721791606964.89,False,1531
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.8,1315355651,4.699860095977783,0.03,158489319246.11108,2001401162.8634207,False,58
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,341464966,19.08253526687622,0.03,301995172040201.94,3891847592408.99,True,572
